Municipality,State,Pop2000,LandArea2000,PopDensity2000,Pop1990,PopChange,,
Wichita,Kansas,"344,284",135.8,"2,536","304,011",13.20%,,
Lexington-Fayette,Kentucky,"260,512",284.5,916,"225,366",15.60%,,
Louisville,Kentucky,"256,231",62.1,"4,125","269,063",-4.80%,,
Owensboro,Kentucky,"54,067",17.4,"3,103","53,549",1.00%,,
Baton Rouge,Louisiana,"227,818",76.8,"2,964","219,531",3.80%,,
Bossier,Louisiana,"56,461",40.8,"1,383","52,721",7.10%,,
Kenner,Louisiana,"70,517",15.1,"4,659","72,033",-2.10%,,
Lafayette LA,Louisiana,"110,257",47.6,"2,317","94,440",16.70%,,
Lake Charles,Louisiana,"71,757",40.2,"1,786","70,580",1.70%,,
Monroe,Louisiana,"53,107",28.7,"1,852","54,909",-3.30%,,
New Orleans,Louisiana,"484,674",180.6,"2,684","496,938",-2.50%,,
Shreveport,Louisiana,"200,145",103.1,"1,940","198,525",0.80%,,
Portland ME,Maine,"64,249",21.2,"3,029","64,358",-0.20%,,
Baltimore,Maryland,"651,154",80.8,"8,058","736,014",-11.50%,,
Bowie,Maryland,"50,269",16.1,"3,122","37,589",33.70%,,
Frederick,Maryland,"52,767",20.4,"2,584","40,148",31.40%,,
Gaithersburg,Maryland,"52,613",10.1,"5,216","39,542",33.10%,,
Boston,Massachusetts,"589,141",48.4,"12,165","574,283",2.60%,,
Brockton,Massachusetts,"94,304",21.5,"4,393","92,788",1.60%,,
Cambridge,Massachusetts,"101,355",6.4,"15,765","95,802",5.80%,,
Chicopee,Massachusetts,"54,653",22.9,"2,390","56,632",-3.50%,,
Fall River,Massachusetts,"91,938",31,"2,963","92,703",-0.80%,,
Haverhill,Massachusetts,"58,969",33.3,"1,769","51,418",14.70%,,
Lawrence MA,Massachusetts,"72,043",7,"10,351","70,207",2.60%,,
Lowell,Massachusetts,"105,167",13.8,"7,635","103,439",1.70%,,
Lynn,Massachusetts,"89,050",10.8,"8,233","81,245",9.60%,,
Malden,Massachusetts,"56,340",5.1,"11,102","53,884",4.60%,,
Medford MA,Massachusetts,"55,765",8.1,"6,851","57,407",-2.90%,,
New Bedford,Massachusetts,"93,768",20.1,"4,660","99,922",-6.20%,,
Newton,Massachusetts,"83,829",18.1,"4,643","82,585",1.50%,,
Quincy,Massachusetts,"88,025",16.8,"5,244","84,985",3.60%,,
Somerville,Massachusetts,"77,478",4.1,"18,867","76,210",1.70%,,
Springfield MA,Massachusetts,"152,082",32.1,"4,737","156,983",-3.10%,,
Taunton,Massachusetts,"55,976",46.6,"1,201","49,832",12.30%,,
Waltham,Massachusetts,"59,226",12.7,"4,663","57,878",2.30%,,
Worcester,Massachusetts,"172,648",37.6,"4,596","169,759",1.70%,,
Ann Arbor,Michigan,"114,024",27,"4,221","109,592",4.00%,,
Battle Creek,Michigan,"53,364",42.8,"1,246","53,540",-0.30%,,
Dearborn,Michigan,"97,775",24.4,"4,013","89,286",9.50%,,
Dearborn Heights,Michigan,"58,264",11.7,"4,973","60,838",-4.20%,,
Detroit,Michigan,"951,270",138.8,"6,855","1,027,974",-7.50%,,
Farmington Hills,Michigan,"82,111",33.3,"2,466","74,652",10.00%,,
Flint,Michigan,"124,943",33.6,"3,715","140,761",-11.20%,,
Grand Rapids,Michigan,"197,800",44.6,"4,431","189,126",4.60%,,
Kalamazoo,Michigan,"77,145",24.7,"3,125","80,277",-3.90%,,
Lansing,Michigan,"119,128",35,"3,399","127,321",-6.40%,,
Livonia,Michigan,"100,545",35.7,"2,815","100,850",-0.30%,,
Pontiac,Michigan,"66,337",20,"3,318","71,166",-6.80%,,
Rochester Hills,Michigan,"68,825",32.9,"2,095","61,766",11.40%,,
Royal Oak,Michigan,"60,062",11.8,"5,083","65,410",-8.20%,,
Saginaw,Michigan,"61,799",17.4,"3,543","69,512",-11.10%,,
Southfield,Michigan,"78,296",26.2,"2,984","75,728",3.40%,,
St. Clair Shores,Michigan,"63,096",11.5,"5,472","68,107",-7.40%,,
Sterling Heights,Michigan,"124,471",36.6,"3,397","117,810",5.70%,,
Taylor,Michigan,"65,868",23.6,"2,790","70,811",-7.00%,,
Troy,Michigan,"80,959",33.5,"2,414","72,884",11.10%,,
Warren,Michigan,"138,247",34.3,"4,032","144,864",-4.60%,,
Westland,Michigan,"86,602",20.5,"4,235","84,724",2.20%,,
Wyoming,Michigan,"69,368",24.4,"2,840","63,891",8.60%,,
Bloomington MN,Minnesota,"85,172",35.5,"2,400","86,335",-1.30%,,
Brooklyn Park,Minnesota,"67,388",26.1,"2,586","56,381",19.50%,,
Burnsville,Minnesota,"60,220",24.9,"2,421","51,288",17.40%,,
Coon Rapids,Minnesota,"61,607",22.7,"2,718","52,978",16.30%,,
Duluth,Minnesota,"86,918",68,"1,278","85,493",1.70%,,
Eagan,Minnesota,"63,557",32.3,"1,968","47,409",34.10%,,
Eden Prairie,Minnesota,"54,901",32.4,"1,695","39,311",39.70%,,
Maple Grove,Minnesota,"50,365",32.9,"1,532","38,736",30.00%,,
Minneapolis,Minnesota,"382,618",54.9,"6,970","368,383",3.90%,,
Minnetonka,Minnesota,"51,301",27.1,"1,890","48,370",6.10%,,
Plymouth,Minnesota,"65,894",32.9,"2,002","50,889",29.50%,,
Rochester MN,Minnesota,"85,806",39.6,"2,166","70,745",21.30%,,
St. Cloud,Minnesota,"59,107",30.2,"1,960","48,812",21.10%,,
St. Paul,Minnesota,"287,151",52.8,"5,441","272,235",5.50%,,
Biloxi,Mississippi,"50,644",38,"1,332","46,319",9.30%,,
Gulfport,Mississippi,"71,127",56.9,"1,250","40,775",74.40%,,
Jackson MS,Mississippi,"184,256",104.9,"1,756","196,637",-6.30%,,
Columbia MO,Missouri,"84,531",53.1,"1,593","69,101",22.30%,,
Florissant,Missouri,"50,497",11.4,"4,442","51,206",-1.40%,,
Independence,Missouri,"113,288",78.3,"1,446","112,301",0.90%,,
Kansas MO,Missouri,"441,545",313.6,"1,408","435,146",1.50%,,
Lee's Summit,Missouri,"70,700",59.5,"1,188","46,418",52.30%,,
Springfield MO,Missouri,"151,580",73.2,"2,072","140,494",7.90%,,
St. Charles,Missouri,"60,321",20.4,"2,962","54,555",10.60%,,
St. Joseph,Missouri,"73,990",43.8,"1,688","71,852",3.00%,,
St. Louis,Missouri,"348,189",61.9,"5,622","396,685",-12.20%,,
St. Peters,Missouri,"51,381",21.2,"2,425","45,779",12.20%,,
Billings,Montana,"89,847",33.7,"2,665","81,151",10.70%,,
Great Falls,Montana,"56,690",19.5,"2,909","55,097",2.90%,,
Missoula,Montana,"57,053",23.8,"2,397","42,918",32.90%,,
Lincoln,Nebraska,"225,581",74.6,"3,022","191,972",17.50%,,
Omaha,Nebraska,"390,007",115.7,"3,371","335,795",16.10%,,
Carson NV,Nevada,"52,457",143.4,366,"40,443",29.70%,,
Henderson,Nevada,"175,381",79.7,"2,201","64,942",170.10%,,
Las Vegas,Nevada,"478,434",113.3,"4,222","258,295",85.20%,,
North Las Vegas,Nevada,"115,488",78.5,"1,471","47,707",142.10%,,
Reno,Nevada,"180,480",69.1,"2,611","133,850",34.80%,,
Sparks,Nevada,"66,346",23.9,"2,773","53,367",24.30%,,
Manchester,New Hampshire,"107,006",33,"3,241","99,567",7.50%,,
Nashua,New Hampshire,"86,605",30.9,"2,803","79,662",8.70%,,
Bayonne,New Jersey,"61,842",5.6,"10,991","61,444",0.60%,,
Camden,New Jersey,"79,904",8.8,"9,056","87,492",-8.70%,,
Clifton,New Jersey,"78,672",11.3,"6,965","71,742",9.70%,,
East Orange,New Jersey,"69,824",3.9,"17,775","73,552",-5.10%,,
Elizabeth,New Jersey,"120,568",12.2,"9,865","110,002",9.60%,,
Jersey,New Jersey,"240,055",14.9,"16,093","228,537",5.00%,,
Newark,New Jersey,"273,546",23.8,"11,494","275,221",-0.60%,,
Passaic,New Jersey,"67,861",3.1,"21,803","58,041",16.90%,,
Paterson,New Jersey,"149,222",8.4,"17,674","140,891",5.90%,,
Trenton,New Jersey,"85,403",7.7,"11,153","88,675",-3.70%,,
Union NJ,New Jersey,"67,088",1.3,"52,972","58,012",15.60%,,
Vineland,New Jersey,"56,271",68.7,819,"54,780",2.70%,,
Albuquerque,New Mexico,"448,607",180.7,"2,483","384,736",16.60%,,
Las Cruces,New Mexico,"74,267",52.1,"1,426","62,126",19.50%,,
Rio Rancho,New Mexico,"51,765",73.4,705,"32,505",59.30%,,
Santa Fe,New Mexico,"62,203",37.3,"1,666","55,859",11.40%,,
Albany NY,New York,"95,658",21.4,"4,474","101,082",-5.40%,,
Buffalo,New York,"292,648",40.6,"7,205","328,123",-10.80%,,
Hempstead,New York,"56,554",3.7,"15,365","49,453",14.40%,,
Mount Vernon,New York,"68,381",4.4,"15,688","67,153",1.80%,,
New Rochelle,New York,"72,182",10.4,"6,973","67,265",7.30%,,
New York,New York,"8,008,278",303.3,"26,401","7,322,564",9.40%,,
Niagara Falls,New York,"55,593",14.1,"3,955","61,840",-10.10%,,
Rochester NY,New York,"219,773",35.8,"6,133","231,636",-5.10%,,
Schenectady,New York,"61,821",10.8,"5,699","65,566",-5.70%,,
Syracuse,New York,"147,306",25.1,"5,871","163,860",-10.10%,,
Utica,New York,"60,651",16.3,"3,710","68,637",-11.60%,,
White Plains,New York,"53,077",9.8,"5,415","48,718",8.90%,,
Yonkers,New York,"196,086",18.1,"10,847","188,082",4.30%,,
Asheville,North Carolina,"68,889",40.9,"1,683","61,607",11.80%,,
Cary,North Carolina,"94,536",42.1,"2,246","43,858",115.60%,,
Charlotte,North Carolina,"540,828",242.3,"2,232","395,934",36.60%,,
Concord NC,North Carolina,"55,977",51.6,"1,085","27,347",104.70%,,
Durham,North Carolina,"187,035",94.6,"1,976","136,611",36.90%,,
Fayetteville NC,North Carolina,"121,015",58.8,"2,059","75,695",59.90%,,
Gastonia,North Carolina,"66,277",46.1,"1,439","54,732",21.10%,,
Greensboro,North Carolina,"223,891",104.7,"2,138","183,521",22.00%,,
Greenville NC,North Carolina,"60,476",25.6,"2,364","44,972",34.50%,,
High Point,North Carolina,"85,839",49.1,"1,750","69,496",23.50%,,
Jacksonville NC,North Carolina,"66,715",44.5,"1,500","30,013",122.30%,,
Raleigh,North Carolina,"276,093",114.6,"2,409","207,951",32.80%,,
Rocky Mount,North Carolina,"55,893",35.6,"1,571","48,997",14.10%,,
Wilmington NC,North Carolina,"75,838",41,"1,850","55,530",36.60%,,
Winston-Salem,North Carolina,"185,776",108.9,"1,707","143,485",29.50%,,
Bismarck,North Dakota,"55,532",26.9,"2,065","49,256",12.70%,,
Fargo,North Dakota,"90,599",37.9,"2,388","74,111",22.20%,,
Akron,Ohio,"217,074",62.1,"3,497","223,019",-2.70%,,
Canton,Ohio,"80,806",20.5,"3,933","84,161",-4.00%,,
Cincinnati,Ohio,"331,285",78,"4,249","364,040",-9.00%,,
Cleveland,Ohio,"478,403",77.6,"6,166","505,616",-5.40%,,
Columbus,Ohio,"711,470",210.3,"3,383","632,910",12.40%,,
Dayton,Ohio,"166,179",55.8,"2,979","182,044",-8.70%,,
Elyria,Ohio,"55,953",19.9,"2,814","56,746",-1.40%,,
Euclid,Ohio,"52,717",10.7,"4,923","54,875",-3.90%,,
Hamilton,Ohio,"60,690",21.6,"2,808","61,368",-1.10%,,
Kettering,Ohio,"57,502",18.7,"3,077","60,569",-5.10%,,
Lakewood OH,Ohio,"56,646",5.5,"10,208","59,718",-5.10%,,
Lorain,Ohio,"68,652",24,"2,858","71,245",-3.60%,,
Mentor,Ohio,"50,278",26.8,"1,878","47,358",6.20%,,
Middletown,Ohio,"51,605",25.7,"2,011","46,022",12.10%,,
Parma,Ohio,"85,655",20,"4,291","87,876",-2.50%,,
Springfield OH,Ohio,"65,358",22.5,"2,908","70,487",-7.30%,,
Toledo,Ohio,"313,619",80.6,"3,890","332,943",-5.80%,,
Youngstown,Ohio,"82,026",33.9,"2,420","95,732",-14.30%,,
Broken Arrow,Oklahoma,"74,859",45,"1,664","58,043",29.00%,,
Edmond,Oklahoma,"68,315",85.1,802,"52,315",30.60%,,
Lawton,Oklahoma,"92,757",75.1,"1,234","80,561",15.10%,,
Midwest,Oklahoma,"54,088",24.6,"2,199","52,267",3.50%,,
Norman,Oklahoma,"95,694",177,541,"80,071",19.50%,,
Oklahoma,Oklahoma,"506,132",607,834,"444,719",13.80%,,
Tulsa,Oklahoma,"393,049",182.7,"2,152","367,302",7.00%,,
Beaverton,Oregon,"76,129",16.3,"4,664","53,310",42.80%,,
Bend,Oregon,"52,029",32,"1,625","20,469",154.20%,,
Eugene,Oregon,"137,893",40.5,"3,403","112,669",22.40%,,
Gresham,Oregon,"90,205",22.2,"4,071","68,235",32.20%,,
Hillsboro,Oregon,"70,186",21.6,"3,254","37,520",87.10%,,
Medford OR,Oregon,"63,154",21.7,"2,910","46,951",34.50%,,
Portland OR,Oregon,"529,121",134.3,"3,939","437,319",21.00%,,
Salem,Oregon,"136,924",45.7,"2,994","107,786",27.00%,,
Springfield OR,Oregon,"52,864",14.4,"3,670","44,683",18.30%,,
Allentown,Pennsylvania,"106,632",17.7,"6,011","105,090",1.50%,,
Bethlehem,Pennsylvania,"71,329",19.3,"3,704","71,428",-0.10%,,
Erie,Pennsylvania,"103,717",22,"4,723","108,718",-4.60%,,
Lancaster PA,Pennsylvania,"56,348",7.4,"7,616","55,551",1.40%,,
Philadelphia,Pennsylvania,"1,517,550",135.1,"11,233","1,585,577",-4.30%,,
Pittsburgh,Pennsylvania,"334,563",55.6,"6,019","369,879",-9.50%,,
Reading,Pennsylvania,"81,207",9.8,"8,270","78,380",3.60%,,
Scranton,Pennsylvania,"76,415",25.2,"3,029","81,805",-6.60%,,
Cranston,Rhode Island,"79,269",28.6,"2,774","76,060",4.20%,,
Pawtucket,Rhode Island,"72,958",8.7,"8,350","72,644",0.40%,,
Providence,Rhode Island,"173,618",18.5,"9,401","160,728",8.00%,,
Warwick,Rhode Island,"85,808",35.5,"2,417","85,427",0.40%,,
Charleston SC,South Carolina,"96,650",97,996,"80,414",20.20%,,
Columbia SC,South Carolina,"116,278",125.2,929,"98,052",18.60%,,
Greenville SC,South Carolina,"56,002",26.1,"2,148","58,282",-3.90%,,
North Charleston,South Carolina,"79,641",58.5,"1,360","70,218",13.40%,,
Rapid,South Dakota,"59,607",44.6,"1,337","54,523",9.30%,,
Sioux Falls,South Dakota,"123,975",56.3,"2,201","100,814",23.00%,,
Chattanooga,Tennessee,"155,554",135.2,"1,150","152,466",2.00%,,
Clarksville,Tennessee,"103,455",94.9,"1,091","75,494",37.00%,,
Jackson TN,Tennessee,"59,643",49.5,"1,205","48,949",21.80%,,
Johnson,Tennessee,"55,469",39.3,"1,412","49,381",12.30%,,
Knoxville,Tennessee,"173,890",92.7,"1,877","165,121",5.30%,,
Memphis,Tennessee,"650,100",279.3,"2,327","610,337",6.50%,,
Murfreesboro,Tennessee,"68,816",39,"1,765","44,922",53.20%,,
Nashville-Davidson,Tennessee,"545,524",473.3,"1,152","488,374",11.70%,,
Abilene,Texas,"115,930",105.1,"1,103","106,654",8.70%,,
Amarillo,Texas,"173,627",89.9,"1,932","157,615",10.20%,,
Arlington,Texas,"332,969",95.8,"3,475","261,721",27.20%,,
Austin,Texas,"656,562",251.5,"2,610","465,622",41.00%,,
Baytown,Texas,"66,430",32.7,"2,034","63,850",4.00%,,
Beaumont,Texas,"113,866",85,"1,339","114,323",-0.40%,,
Brownsville,Texas,"139,722",80.4,"1,738","98,962",41.20%,,
Bryan,Texas,"65,660",43.3,"1,515","55,002",19.40%,,
Carrollton,Texas,"109,576",36.5,"3,004","82,169",33.40%,,
College Station,Texas,"67,890",40.3,"1,686","52,456",29.40%,,
Corpus Christi,Texas,"277,454",154.6,"1,794","257,453",7.80%,,
Dallas,Texas,"1,188,580",342.6,"3,470","1,006,877",18.00%,,
Denton,Texas,"80,537",61.5,"1,310","66,270",21.50%,,
El Paso,Texas,"563,662",249.1,"2,263","515,342",9.40%,,
Flower Mound,Texas,"50,702",40.9,"1,240","15,527",226.50%,,
Fort Worth,Texas,"534,694",292.6,"1,828","447,619",19.50%,,
Galveston,Texas,"57,247",46.2,"1,240","59,070",-3.10%,,
Garland,Texas,"215,768",57.1,"3,778","180,650",19.40%,,
Grand Prairie,Texas,"127,427",71.4,"1,785","99,616",27.90%,,
Harlingen,Texas,"57,564",34.1,"1,689","48,735",18.10%,,
Houston,Texas,"1,953,631",579.5,"3,372","1,630,553",19.80%,,
Irving,Texas,"191,615",67.2,"2,850","155,037",23.60%,,
Killeen,Texas,"86,911",35.3,"2,459","63,535",36.80%,,
Laredo,Texas,"176,576",78.5,"2,250","122,899",43.70%,,
Lewisville,Texas,"77,737",36.8,"2,113","46,521",67.10%,,
Longview,Texas,"73,344",54.7,"1,342","70,311",4.30%,,
Lubbock,Texas,"199,564",114.8,"1,738","186,206",7.20%,,
McAllen,Texas,"106,414",46,"2,315","84,021",26.70%,,
McKinney,Texas,"54,369",58,937,"21,283",155.50%,,
Mesquite,Texas,"124,523",43.4,"2,868","101,484",22.70%,,
Midland,Texas,"94,996",66.6,"1,426","89,443",6.20%,,
Missouri,Texas,"52,913",29.7,"1,782","36,176",46.30%,,
North Richland Hills,Texas,"55,635",18.2,"3,056","45,895",21.20%,,
Odessa,Texas,"90,943",36.8,"2,471","89,699",1.40%,,
Pasadena TX,Texas,"141,674",44.2,"3,208","119,363",18.70%,,
Plano,Texas,"222,030",71.6,"3,102","128,713",72.50%,,
Port Arthur,Texas,"57,755",82.9,696,"58,724",-1.70%,,
Richardson,Texas,"91,802",28.6,"3,214","74,840",22.70%,,
Round Rock,Texas,"61,136",26.1,"2,339","30,923",97.70%,,
San Angelo,Texas,"88,439",55.9,"1,582","84,474",4.70%,,
San Antonio,Texas,"1,144,646",407.6,"2,808","935,933",22.30%,,
Sugar Land,Texas,"63,328",24.1,"2,629","24,529",158.20%,,
Temple,Texas,"54,514",65.4,834,"46,109",18.20%,,
Tyler,Texas,"83,650",49.3,"1,697","75,450",10.90%,,
Victoria,Texas,"60,603",33,"1,838","55,076",10.00%,,
Waco,Texas,"113,726",84.2,"1,351","103,590",9.80%,,
Wichita Falls,Texas,"104,197",70.7,"1,474","96,259",8.20%,,
Layton,Utah,"58,474",20.7,"2,824","41,784",39.90%,,
Ogden,Utah,"77,226",26.6,"2,899","63,909",20.80%,,
Orem,Utah,"84,324",18.4,"4,572","67,561",24.80%,,
Provo,Utah,"105,166",39.6,"2,653","86,835",21.10%,,
Salt Lake,Utah,"181,743",109.1,"1,666","159,936",13.60%,,
Sandy,Utah,"88,418",22.3,"3,960","75,058",17.80%,,
Taylorsville,Utah,"57,439",10.7,"5,376","52,351",9.70%,,
West Jordan,Utah,"68,336",30.9,"2,211","42,892",59.30%,,
West Valley,Utah,"108,896",35.4,"3,076","86,976",25.20%,,
Alexandria,Virginia,"128,283",15.2,"8,451","111,183",15.40%,,
Chesapeake,Virginia,"199,184",340.7,585,"151,976",31.10%,,
Hampton,Virginia,"146,437",51.8,"2,828","133,793",9.50%,,
Lynchburg,Virginia,"65,269",49.4,"1,321","66,049",-1.20%,,
Newport News,Virginia,"180,150",68.3,"2,638","170,045",5.90%,,
Norfolk,Virginia,"234,403",53.7,"4,362","261,229",-10.30%,,
Portsmouth,Virginia,"100,565",33.2,"3,032","103,907",-3.20%,,
Richmond VA,Virginia,"197,790",60.1,"3,292","203,056",-2.60%,,
Roanoke,Virginia,"94,911",42.9,"2,213","96,397",-1.50%,,
Suffolk,Virginia,"63,677",400,159,"52,141",22.10%,,
Virginia Beach,Virginia,"425,257",248.3,"1,713","393,069",8.20%,,
Bellevue,Washington,"109,569",30.7,"3,563","86,874",26.10%,,
Bellingham,Washington,"67,171",25.6,"2,619","52,179",28.70%,,
Everett,Washington,"91,488",32.5,"2,814","69,961",30.80%,,
Federal Way,Washington,"83,259",21,"3,959","67,554",23.20%,,
Kennewick,Washington,"54,693",22.9,"2,385","42,155",29.70%,,
Kent,Washington,"79,524",28,"2,837","37,960",109.50%,,
Lakewood WA,Washington,"58,211",17.1,"3,401","58,412",-0.30%,,
Renton,Washington,"50,052",17,"2,939","41,688",20.10%,,
Seattle,Washington,"563,374",83.9,"6,717","516,259",9.10%,,
Shoreline,Washington,"53,025",11.7,"4,546","47,111",12.60%,,
Spokane,Washington,"195,629",57.8,"3,387","177,196",10.40%,,
Tacoma,Washington,"193,556",50.1,"3,865","176,664",9.60%,,
Vancouver,Washington,"143,560",42.8,"3,354","46,380",209.50%,,
Yakima,Washington,"71,845",20.1,"3,570","54,827",31.00%,,
Charleston WV,West Virginia,"53,421",31.6,"1,690","57,287",-6.70%,,
Huntington,West Virginia,"51,475",15.9,"3,234","54,844",-6.10%,,
Appleton,Wisconsin,"70,087",20.9,"3,356","65,695",6.70%,,
Eau Claire,Wisconsin,"61,704",30.3,"2,038","56,856",8.50%,,
Green Bay,Wisconsin,"102,313",43.9,"2,332","96,466",6.10%,,
Janesville,Wisconsin,"59,498",27.5,"2,161","52,133",14.10%,,
Kenosha,Wisconsin,"90,352",23.8,"3,795","80,352",12.40%,,
La Crosse,Wisconsin,"51,818",20.1,"2,573","51,003",1.60%,,
Madison,Wisconsin,"208,054",68.7,"3,029","191,262",8.80%,,
Milwaukee,Wisconsin,"596,974",96.1,"6,214","628,088",-5.00%,,
Oshkosh,Wisconsin,"62,916",23.6,"2,662","55,006",14.40%,,
Racine,Wisconsin,"81,855",15.5,"5,267","84,298",-2.90%,,
Sheboygan,Wisconsin,"50,792",13.9,"3,652","49,676",2.20%,,
Waukesha,Wisconsin,"64,825",21.6,"3,000","56,958",13.80%,,
West Allis,Wisconsin,"61,254",11.3,"5,397","63,221",-3.10%,,
Cheyenne,Wyoming,"53,011",21.1,"2,511","50,008",6.00%,,
